product_id,masterCategory,articleType,productDisplayName,item_price,quantity
1163,Apparel,Tshirts,Nike Sahara Team India Fanwear Round Neck Jersey,45027,38
1164,Apparel,Tshirts,Nike Men Blue T20 Indian Cricket Jersey,393228,27
1165,Apparel,Tshirts,Nike Mean Team India Cricket Jersey,470047,30
1525,Accessories,Backpacks,Puma Deck Navy Blue Backpack,218108,131
1526,Accessories,Backpacks,Puma Big Cat Backpack Black,280252,133
1528,Apparel,Jackets,Puma Men Ferrari Black Fleece Jacket,191988,31
1529,Apparel,Tshirts,Ferrari Tee,204947,43
1530,Apparel,Jackets,Puma Men Ferrari Track Jacket,416773,47
1531,Apparel,Tshirts,Puma Men Grey Solid Round Neck T-Shirt,228856,23
1532,Apparel,Tshirts,Puma Men Grey Leaping Cat T-shirt,137925,47
1533,Apparel,Tshirts,Puma Men Cat Red T-shirt,311376,42
1534,Apparel,Tshirts,Puma Men Black Leaping Cat T-shirt,303819,39
1535,Accessories,Caps,Puma Unisex Logo Cap,540010,36
1536,Apparel,Tshirts,Puma Men Black Net Jersey,132096,27
1537,Apparel,Tshirts,Puma Men Red Net Jersey,126014,58
1538,Apparel,Tshirts,Puma Men Ferrari Track Black T-shirt,350431,32
1539,Apparel,Tshirts,Puma Men Ferrari Grey T-shirt,197589,52
1540,Apparel,Tshirts,Puma Men Ferrari Vintage Black Polo T-shirt,294031,52
1541,Footwear,Sports Shoes,Puma Men's Ballistic Spike White Green Shoe,268781,127
1542,Footwear,Sports Shoes,Puma Men's Ballistic Rubber Shoe,499213,129
1543,Footwear,Casual Shoes,Puma Men Basket-Biz Sneaker,146098,96
1544,Footwear,Casual Shoes,Puma Men's Basket Bump Sneaker,323092,169
1545,Footwear,Casual Shoes,Puma Men's Speed Cat Shoe,232349,113
1546,Footwear,Casual Shoes,Puma Men's Furore White Shoe,205311,130
1547,Footwear,Casual Shoes,Puma Men's Ducati Sneaker,454379,153
1548,Footwear,Sports Shoes,Puma Men's Cell Exsis Sneaker,359408,99
1549,Footwear,Sports Shoes,Puma Men's Jiyu Slip On Sneaker,140288,117
1550,Sporting Goods,Footballs,Puma Cat Trainer-WBL Football,326462,31
1551,Sporting Goods,Footballs,Puma Power Cat Trainer-OB Football,337221,29
1552,Sporting Goods,Footballs,Puma Power Cat Trainer-WR Football,224710,29
1553,Sporting Goods,Footballs,Puma Power Cat Hard Ground Football,279563,37
1554,Accessories,Water Bottle,Quechua  Blue Sipper,447188,21
1555,Accessories,Water Bottle,Quechua Red Sipper,228697,57
1556,Accessories,Backpacks,Quechua Forclaz Large  Backpack - 50 ltr Orange,198456,140
1557,Accessories,Backpacks,Quechua Spacious Blue-Black Backpack,262407,99
1558,Accessories,Water Bottle,Quechua Easy-to-Carry Blue Water Bottle,250843,56
1559,Accessories,Backpacks,Quechua Blue Light Backpack,59513,118
1561,Apparel,Tshirts,Quechua Women Sweat Proof White T-shirt,225370,36
1562,Apparel,Tshirts,Quechua Men Sweat Proof Grey T-shirt,300875,26
1563,Apparel,Tshirts,Quechua Men Sweat Proof Blue T-shirt,232491,33
1565,Accessories,Backpacks,Quechua Green Light Backpack,235061,147
1566,Accessories,Caps,Artengo Men Black Cap,313912,73
1567,Apparel,Shorts,Artengo Men Training Shorts,445301,29
1569,Apparel,Shorts,Artengo Men Black Tennis Shorts,163248,39
1570,Apparel,Tshirts,Artengo Women Tennis Singlet,240009,46
1571,Footwear,Sports Shoes,Kalenji Men's Super Soft Sports Shoes,148819,109
1572,Apparel,Track Pants,Kalenji Mens Essential Training Track Pants,178655,38
1573,Apparel,Track Pants,Kalenji Women Athletes Grey Track Pants,368000,28
1575,Apparel,Tshirts,Kipsta Men Sports White T-shirt,379906,35
1577,Accessories,Caps,Inesis  Slim Shady Cap,87792,49
1578,Apparel,Tshirts,Domyos Men Good Stroke Red T-shirt,214391,68
1579,Apparel,Jackets,Domyos Men Grey Second Skin Jacket,247985,43
1580,Apparel,Swimwear,Nabaiji Women Cross-back Swimsuit,332931,32
1581,Accessories,Caps,Nabaiji Unisex Silicone Swimming Cap,119629,43
1582,Apparel,Swimwear,Nabaiji Unisex Black Silicone Swimming Cap,277682,47
1583,Apparel,Swimwear,Nabaiji Women Black Swimsuit,197282,53
1584,Apparel,Jackets,Domyos Unisex Feather-light Jacket,273733,56
1587,Footwear,Sports Shoes,Kipsta Men Superfit Football White Shoe,494003,110
1588,Apparel,Tshirts,Domyos Men White Dry-Fit T-shirt,279464,47
1590,Footwear,Sports Shoes,Kipsta Men's F300 Football Shoe,166401,108
1591,Apparel,Shorts,Kipsta Men Red Shorts,251685,27
1592,Footwear,Sports Shoes,Kipsta Men's Superfit Football Red Shoe,407256,116
1594,Footwear,Casual Shoes,Newfeel Unisex Grey Mesh Lightweight Shoe,208013,123
1595,Apparel,Tshirts,Domyos Men Good Stroke Black T-shirt,272222,34
1596,Accessories,Water Bottle,Quechua Easy-to-Carry Pink Sipper,359320,64
1597,Accessories,Handbags,Geonaute Women Black Outdoor Bag,117627,130
1598,Accessories,Handbags,Geonaute Women Blue Outdoor Bag,622053,129
1599,Accessories,Handbags,Geonaute Women Green Outdoor Bag,262944,144
1603,Apparel,Sweatshirts,Reebok Men Hoops Athletic Navy Sweatshirt,234742,35
1604,Apparel,Track Pants,Reebok Track Pants Women Blue,155742,27
1605,Apparel,Track Pants,Reebok Black Track Pant,202975,41
1607,Apparel,Track Pants,Reebok Men trackpant- male Track Pants,132320,35
1608,Apparel,Track Pants,Reebok Track Pants Jet Black,366888,44
1609,Apparel,Sweatshirts,Reebok Women Boat-Neck Wildberry Sweatshirt,273682,49
1610,Apparel,Jackets,Reebok Navy Jacket,123573,44
1611,Apparel,Jackets,Reebok Knit Rib Women Black Jacket,228375,65
1612,Apparel,Tshirts,Reebok Orange & White Striped Polo T-shirt,206395,27
1613,Apparel,Tshirts,Reebok Men White Polo Tshirt,201819,31
1614,Apparel,Tshirts,Reebok T-shirt White Polo Tshirt,141350,15
1615,Apparel,Tshirts,Reebok Men Navy Blue Polo T-shirt,253569,25
1616,Apparel,Tshirts,Reebok Men's Shoot White T-Shirt,171168,48
1617,Apparel,Tshirts,Reebok Men Shoot T-Shirt Red,208653,27
1618,Footwear,Sports Shoes,Reebok Men United Runner White,220097,101
1619,Apparel,Shorts,Reebok Men Micro Shorts Grey and White,267226,46
1620,Apparel,Shorts,Reebok Men Micro Shorts,415023,29
1621,Apparel,Shorts,Reebok Men Micro Shorts Black and White,415402,35
1622,Apparel,Jackets,Reebok Navy Knit Rib Jacket,185472,49
1623,Accessories,Backpacks,Reebok Unisex Red Backpack,152378,134
1624,Accessories,Backpacks,Reebok Silver-Black Laptop Backpack,132008,106
1625,Apparel,Tshirts,Domyos Men Quick Dry T-shirt,81808,34
1626,Sporting Goods,Footballs,Kipsta F300 Football Size 5 Football,129423,51
1627,Sporting Goods,Footballs,Kipsta F300 Football,211143,22
1628,Sporting Goods,Basketballs,Kipsta Xtra Bounce Basketball,458874,34
1634,Footwear,Sports Shoes,Inesis Water Repellent Canaveral Shoes,245061,121
1635,Footwear,Casual Shoes,Newfeel Unisex Red Comfy Shoes,278775,113
1636,Footwear,Sports Shoes,Nike Men Air Zoom Century Shoes,121683,124
1637,Footwear,Sports Shoes,Nike Men White Cricket Shoes,212302,124
1638,Apparel,Swimwear,Nabaiji Swimming Goggles Blue Black,237819,36
1641,Footwear,Sports Shoes,Reebok Men's Hex Run Pure Silver Shoe,430665,110
1642,Footwear,Sports Shoes,Reebok Men Winning Stride White Red,366557,133
1644,Apparel,Tshirts,Kipsta Men Loose Fit Round Neck Jersey Red,299590,25
1645,Apparel,Tshirts,Kipsta Men Loose Fit Round Neck Jersey Black,125858,33
1646,Accessories,Backpacks,Quechua Ultralight Backpack 16 Ltr Grey Bag,206181,142
1647,Accessories,Backpacks,Quechua Unisex Ultralight 16 Ltr Green Backpack,435544,112
1648,Accessories,Backpacks,Quechua  Ultralight Backpack Purple 16 ltr Bag,110390,150
1649,Footwear,Casual Shoes,Newfeel Unisex Comfy Cool Blue Shoe,340485,100
1651,Apparel,Tshirts,Domyos Women Style Pink T-shirt,614078,50
1653,Footwear,Sports Shoes,Reebok Men's Ventilator Ubiq Shoe,263072,135
1654,Footwear,Sports Shoes,Reebok Men's Frisker LP Shoe,148793,134
1656,Accessories,Caps,Nike Unisex Odi Day Cap,293000,61
1657,Footwear,Sports Shoes,Reebok Men's White High Wire Shoe,253662,126
1658,Apparel,Jackets,Nike Men Windrunner Blue Jacket,251372,21
1662,Apparel,Jackets,Nike Men Blue Windrunner Jacket,239021,70
1668,Apparel,Tshirts,Reebok Men Playdry Full Sleeved T-shirt Red,158807,46
1670,Apparel,Tshirts,Reebok Men Green Polo T-shirt,282730,34
1671,Apparel,Tshirts,Reebok Men Black Polo T-shirt,113291,52
1673,Apparel,Tshirts,Reebok Mens Lagoon Black T-shirt,157653,42
1678,Apparel,Tshirts,Reebok Men Play Hard Cotton Green T-shirt,233758,59
1689,Apparel,Tshirts,Reebok Men Blue Polo T-shirt,288858,18
1697,Accessories,Backpacks,Puma Deck Black Backpack,301108,152
1727,Footwear,Casual Shoes,Newfeel Unisex Black Lightweight Shoes,119924,106
1728,Footwear,Sports Shoes,Newfeel Unisex Green Sports Shoes,193104,95
1729,Footwear,Casual Shoes,Newfeel Unisex White Shoes,300772,129
1730,Footwear,Sports Shoes,Reebok Women Black Pink Frisker Shoe,145038,111
1731,Footwear,Sports Shoes,Reebok Women White Blue Frisker Shoes,322825,143
1752,Apparel,Tshirts,Lotto Men Red Epic T-shirt,278848,52
1754,Apparel,Tshirts,Lotto Men Marcello Black T-shirt,67457,31
1755,Apparel,Tshirts,Lotto Men Jasper Street Red T-shirt,259428,35
1756,Apparel,Tshirts,Lotto Men White Polo T-shirt,282891,55
1757,Apparel,Tshirts,Lotto Men Polo Slate Black Rugby T-shirt,392026,38
1758,Apparel,Jackets,Lotto Men White Collared Jacket,155587,52
1759,Apparel,Tshirts,Lotto Men Epic Grey T-shirt,176444,52
1760,Apparel,Tshirts,Lotto Men Marcello White T-shirt,219888,29
1762,Apparel,Tshirts,Lotto Women Cathy Blue T-shirt,370498,27
1763,Apparel,Tshirts,Lotto Women Cathy Pink T-shirt,99288,50
1764,Apparel,Track Pants,Lotto Women Mid Cathy Track Pants,179390,28
1765,Apparel,Tshirts,Lotto Women White T-shirt,100958,54
1766,Apparel,Tshirts,Inesis Men Blue Polo T-shirt,255732,30
1782,Footwear,Sports Shoes,Kalenji Men's Kapteren Black Shoe,167782,145
1783,Footwear,Sandals,Quechua Men Grey Sandal,318311,34
1784,Footwear,Sports Shoes,Lotto Men's Melbourne White-Red Shoe,78606,129
1785,Footwear,Sports Shoes,Lotto Men Brighton White-Blue Shoe,132670,119
1786,Footwear,Sports Shoes,Lotto Men's Court Logo White Shoe,373769,122
