customer_id,product_id,quantity,masterCategory,productDisplayName,articleType
11,21536,1,Accessories,Kiara Women Classic Dark Pink Handbag,Handbags
17,13811,1,Accessories,Proline Maroon Checked Muffler,Mufflers
17,30931,1,Apparel,Fabindia Women Teal Dobby Sarkar Kurti,Kurtis
21,51350,1,Footwear,Converse Men Navy Casual Shoes,Casual Shoes
26,6714,1,Apparel,Locomotive Men's Round Neck White T-shirt,Tshirts
26,9264,1,Apparel,Scullers Men White Check Shirt,Shirts
36,22361,1,Footwear,Reebok Men Navy Twist Sandals,Sports Sandals
36,22438,1,Apparel,Global Desi Women Printed Blue Kurti,Kurtis
36,49488,1,Footwear,Vans Men Black Helliotrope Shoes,Casual Shoes
36,51459,1,Apparel,Tonga Women White Top,Tops
40,34235,1,Apparel,Proline Men Cream-Coloured Polo T-Shirt,Tshirts
41,3815,1,Apparel,Disney Kids Boy's Orange Just Cruising Kidswear,Tshirts
41,5679,1,Footwear,Skechers Men's Diameter Heisman Black Shoe,Casual Shoes
41,7556,1,Apparel,Nike Men's Aqua Polo T-shirt,Tshirts
41,20764,1,Footwear,Carlton London Women Red Casual Heels,Heels
41,20789,1,Apparel,Genesis Men Solid Navy Blue Sweater,Sweaters
41,22363,1,Apparel,ADIDAS Men Ess 3S Rain Jkt Navy Blue Jacket,Jackets
41,22942,1,Accessories,Fastrack Women White Casual Watch,Watches
41,37977,1,Apparel,Classic Polo Men Black T-Shirt,Tshirts
41,45378,1,Footwear,Rocia Women Black Sandals,Flats
41,45882,1,Accessories,Maxima Men White Dial Watch,Watches
41,47629,1,Footwear,Carlton London Women Black Shoes,Flats
41,48102,1,Apparel,French Connection Women Red Striped Top,Tops
41,52148,1,Apparel,Femella Women Red Polo T-Shirt,Tshirts
50,10037,1,Footwear,Reebok Men Premier ultra 8 U-form Silver Sports Shoes,Sports Shoes
50,13246,1,Apparel,Palm Tree Kids Boy Washed Blue Jeans,Jeans
50,24639,1,Footwear,Converse Men Red Lace Black Shoes,Casual Shoes
50,24699,1,Footwear,Puma Men Cell Tolero Black Sports Shoes,Sports Shoes
50,28162,1,Accessories,Ray-Ban Men Aviator Sunglasses,Sunglasses
50,46523,1,Accessories,Timex Men Black Dial Watch,Watches
50,59604,1,Apparel,FNF Olive Printed Wedding Collection Sari,Sarees
65,27862,1,Apparel,Scullers For Her Women Check Navy Blue Shirt,Shirts
65,33869,1,Accessories,Citizen Men Sliver Dial Chronograph Watch,Watches
75,43468,1,Apparel,SDL by Sweet Dreams Women Pink Night suits,Night suits
75,53679,1,Accessories,Kiara Women Pink Handbag,Handbags
81,14360,1,Footwear,Catwalk Women Casual Brown Flats,Heels
81,27002,1,Apparel,Jealous 21 Women Washed Light Blue Jeans,Jeans
81,50702,1,Apparel,Latin Quarters Women Orange Top,Tops
83,7314,1,Apparel,UCB Women's Racer Back Green Top,Tops
83,10573,1,Apparel,Puma Men Heritage Navy Blue Polo Tshirts,Tshirts
91,28816,1,Apparel,Denizen Men Blue Jeans,Jeans
91,48332,1,Accessories,Pitaraa Golden Fish Scale Necklace,Necklace and Chains
91,55187,1,Personal Care,Lakme Absolute Fast & Fabulous 10 Purple Nail Polish,Nail Polish
91,57786,1,Personal Care,Lotus Herbals Naturalblend Loose Powder Auto-Puff,Compact
100,6452,1,Footwear,Lotto Women's Safina Red Flip Flop,Flip Flops
100,13481,1,Footwear,Rocia Women Black Flats,Flats
120,41607,1,Apparel,Basics Men Grey Shirt,Shirts
125,9791,1,Apparel,Classic Polo Men Ikon Brown Polo Tshirts,Tshirts
125,51169,1,Accessories,Raymond Men Black Socks,Socks
131,9010,1,Footwear,iD Men Casual Brown Shoe,Casual Shoes
131,39300,1,Footwear,Red Chief Men Brown Shoes,Casual Shoes
131,52569,1,Accessories,Mod'acc Women White Clutch,Clutches
133,7743,1,Apparel,Indigo Nation Men Red Polo T-shirt,Tshirts
133,10002,1,Apparel,Palm Tree Kids Sp Jema Skt Blue Skirts,Skirts
141,8398,1,Apparel,ADIDAS Men Adna Ss Tee White T-Shirts,Tshirts
141,12572,1,Apparel,Tantra Men Navy Blue Printed T-shirt,Tshirts
141,35308,1,Accessories,Fabindia Women Anusuya Silver Earrings,Earrings
141,45011,1,Accessories,Maxima Men Digital Multifunction Watch,Watches
141,47522,1,Apparel,Facit Men Khaki Breif,Briefs
141,56185,1,Personal Care,ColorBar Tan Radiant White UV Fairness Compact 005,Compact
151,6525,1,Apparel,Nike Women's Tempo yellow Short,Shorts
151,7399,1,Footwear,Red Tape Men's Black Formal Shoe,Formal Shoes
153,2553,1,Footwear,Numero Uno Men's Casual Red Graphic Flip Flop,Flip Flops
153,27733,1,Accessories,Murcia Women Grey Handbag,Handbags
154,17325,1,Accessories,Pepe Jeans Unisex Casual Sunglasses,Sunglasses
154,31239,1,Apparel,Puma Men Reisen Polo Red T-shirt,Tshirts
154,45622,1,Footwear,Red Tape Men Black Shoes,Formal Shoes
159,31361,1,Apparel,Locomotive Men Printed Grey T-shirt,Tshirts
159,39886,1,Footwear,ADIDAS Unisex Black Clima Low Shoes,Sports Shoes
163,13690,1,Footwear,Reebok Men Zigdynamic Sports Shoes,Sports Shoes
163,26685,1,Footwear,Puma Men Helium Black Sandals,Sandals
163,34576,1,Apparel,Tonga Women Printed Black Top,Tops
165,43208,1,Accessories,Fastrack Women Grey Dial Watch,Watches
181,23908,1,Footwear,Fila Men Vendata Black Casual Shoes,Casual Shoes
187,5475,1,Footwear,Nike Men Celso City Thong Brown Flip Flops,Flip Flops
187,13163,1,Footwear,Skechers Women Silver Coloured Shoes,Sports Shoes
194,27525,1,Apparel,Scullers Men Olive Jacket,Jackets
195,31178,1,Apparel,Gini and Jony Girls Black Top,Tops
203,10854,1,Apparel,Wrangler Men Green Polo T-shirt,Tshirts
203,18997,1,Accessories,ADIDAS Originals Unisex Woolie Stripes Black Cap,Caps
206,34852,1,Footwear,Vans Unisex Classic Slip-On Black Shoes,Casual Shoes
206,41310,1,Apparel,Gini and Jony Girls Knits White Top,Tops
206,44176,1,Personal Care,Nike Fragrances Women Spicy Love Perfume and Deo Set,Fragrance Gift Set
207,22685,1,Accessories,Wildcraft Unisex Gear for Life Black Waist Pouch,Waist Pouch
210,7651,1,Accessories,Wrangler Men's Navy Ankle Length Socks,Socks
216,42685,1,Apparel,Alma Women White Printed Kurta,Kurtas
219,26616,1,Footwear,Puma Women BodyTrain Mesh Grid Grey Sports Shoes,Sports Shoes
219,31728,1,Accessories,Fabindia Women Anusuya Maroon Pendant,Pendant
219,42559,1,Apparel,Mother Earth Women Multi Coloured Kurta,Kurtas
219,52074,1,Apparel,Myntra Men Yellow & Blue T-shirt,Tshirts
230,7143,1,Apparel,Scullers For Her Women Light Work Blue Shirts,Shirts
230,8030,1,Apparel,Fila Men's Basic Cotton Lower Grey Track Pant,Track Pants
230,15706,1,Accessories,Nike Unisex Pack of 3 White Socks,Socks
230,17408,1,Accessories,Reid & Taylor Men NA Black Socks,Socks
230,17670,1,Footwear,Catwalk Women Fancy Black Heels,Heels
230,20467,1,Accessories,Baggit Women Udaan Jhuti Pink Wallet,Wallets
230,23171,1,Apparel,Mark Taylor Men Grey Printed T-shirt,Tshirts
230,28535,1,Apparel,Nike Men Sublimated Green T-shirt,Tshirts
230,34177,1,Apparel,Gini and Jony Boys White T-shirt,Tshirts
230,36990,1,Accessories,Lino Perros Women Purple Clutch,Clutches
230,42327,1,Apparel,Prafful Navy & Brown Georgette Printed Saree,Sarees
230,46809,1,Apparel,Nike Women Pink T-shirt,Tshirts
230,54490,1,Accessories,Lino Perros Women Beige Handbag,Handbags
230,58741,1,Apparel,Puma Men Purple T-shirt,Tshirts
233,4443,1,Footwear,Converse Unisex Converse Digital White Shoe,Casual Shoes
233,25440,1,Footwear,Nike Men Elite Green Shoes,Casual Shoes
244,29017,1,Apparel,ADIDAS Men Color Block Grey T-shirt,Tshirts
245,1927,1,Accessories,Domyos Navy Blue Bag,Backpacks
245,18360,1,Accessories,Fila  Men Crew Black Socks,Socks
245,40460,1,Footwear,FILA Men Black Change The Game Sports Shoes,Sports Shoes
245,57129,1,Apparel,Elle Women Red Top,Tops
249,17738,1,Footwear,Puma Men Voltaic WP Black Sports Shoe,Sports Shoes
249,26540,1,Footwear,ID Men White & Blue Shoes,Casual Shoes
257,16823,1,Apparel,Little Miss Women Printed Blue T-shirt,Tshirts
262,23516,1,Accessories,ADIDAS Men Charcoal Watch,Watches
262,31719,1,Accessories,Fabindia Women Anusuya Silver Earrings,Earrings
262,38151,1,Apparel,Wildcraft Men Black T Poly Crew T-shirt,Tshirts
262,44919,1,Apparel,Puma Men Black Shorts,Shorts
270,3186,1,Footwear,Nike Men's Main Draw White Shoe,Sports Shoes
270,10155,1,Footwear,Rockport Men Tr Bal Brown Casual Shoes,Casual Shoes
270,11222,1,Accessories,Esprit Men Avalance Silver Steel Watches,Watches
270,15296,1,Accessories,ADIDAS Originals Unisex Spo Shoulderbag Black,Handbags
270,28299,1,Accessories,Fastrack Men Metallic Sunglasses,Sunglasses
270,36989,1,Accessories,Lino Perros Women Maroon Clutch,Clutches
270,37794,1,Apparel,John Players Men Stripes Brown Shirt,Shirts
270,38312,1,Accessories,I Dee Men Black Frame Sunglasses,Sunglasses
270,42409,1,Apparel,Basics Men White Trunk Brief,Briefs
270,51949,1,Accessories,Yelloe Men Laptop Bag/Document Holder,Laptop Bag
274,19045,1,Footwear,Catwalk Women Casual Multi Wedges,Heels
274,25156,1,Accessories,Lino Perros Women Leatherette Black Handbag,Handbags
274,36721,1,Apparel,Gini and Jony Boys Printed Dark Navy T-Shirt,Tshirts
274,42845,1,Accessories,French Connection Women Light Brown Handbag,Handbags
281,19255,1,Accessories,Guess Women Glow Gold Watch,Watches
281,36409,1,Accessories,Reid & Taylor Men Grey Socks,Socks
281,45593,1,Footwear,Arrow Men Black Formal Shoes,Formal Shoes
281,52828,1,Accessories,Adrika Black Earrings,Earrings
288,6773,1,Apparel,Timberland Men's Nautical Stripe Pique White T-shirt,Tshirts
288,13541,1,Footwear,Carlton London Women Casual Purple Sandals,Flats
288,35434,1,Apparel,Doodle Girls Printed Blue Dress,Dresses
289,1879,1,Apparel,FIFA Mens 1982 Spain Red T-shirt,Tshirts
289,19564,1,Apparel,United Colors of Benetton Men Green Polo Tshirt,Tshirts
289,59903,1,Accessories,Femella Women Peach Printed Scarf,Scarves
300,3137,1,Footwear,Catwalk Women Ethnic Leather Flat Brown Flats,Heels
300,6291,1,Apparel,Classic Polo Men's Swiss Red T-shirt,Tshirts
300,7874,1,Footwear,Provogue Men's Formal Tan Shoe,Formal Shoes
300,27175,1,Apparel,Mark Taylor Men Striped Blue Shirt,Shirts
300,33828,1,Footwear,Puma Men Speeder Black Sports Shoes,Sports Shoes
300,53528,1,Apparel,Amante Women Pink Briefs PCLC11,Briefs
300,55032,1,Personal Care,Lakme Absolute Matte Classic Rose Lipstick 47,Lipstick
305,11561,1,Apparel,W Women Printed Pink Kurtas,Kurtas
321,40126,1,Apparel,Gini and Jony Boys Boxer White Shorts,Shorts
321,42056,1,Accessories,Bulchee Women White Wallet Clutch,Wallets
337,40321,1,Footwear,ADIDAS Men Black Mudslide Sports Shoes,Sports Shoes
342,32298,1,Accessories,Q&Q Men Black Dial Watch,Watches
346,4311,1,Apparel,Tantra Kid's Unisex Muscle Man Green Kidswear,Tshirts
346,19525,1,Apparel,United Colors of Benetton Men Check Grey Sweater,Sweaters
346,44914,1,Apparel,Puma Men Blue Track Pants,Track Pants
346,47658,1,Apparel,Femella Women Purple & Black Skirt,Skirts
346,57263,1,Accessories,Murcia Blue & Cream Handbag,Handbags
350,37514,1,Apparel,Madagascar3 Infant Boys Lemon Yellow Leggings,Leggings
357,44622,1,Accessories,Nike Unisex Blue Daybreak Cap,Caps
358,53593,1,Accessories,Q&Q Men Digital Watch,Watches
368,43273,1,Accessories,Murcia Women Black Handbag,Handbags
368,52449,1,Apparel,Red Rose White Nightdress,Nightdress
386,18865,1,Apparel,Puma Men Red Sports Heritage Sweatshirt,Sweatshirts
386,20752,1,Footwear,Carlton London Women Classy Gold Stilettos,Heels
